business_id,date_values
---kPU91CF4Lq2-WlRu9Lw,20200313
---kPU91CF4Lq2-WlRu9Lw,20200602
---kPU91CF4Lq2-WlRu9Lw,20200724
---kPU91CF4Lq2-WlRu9Lw,20201024
---kPU91CF4Lq2-WlRu9Lw,20201209
---kPU91CF4Lq2-WlRu9Lw,20210120
---kPU91CF4Lq2-WlRu9Lw,20210430
---kPU91CF4Lq2-WlRu9Lw,20210525
---kPU91CF4Lq2-WlRu9Lw,20210806
---kPU91CF4Lq2-WlRu9Lw,20211002
---kPU91CF4Lq2-WlRu9Lw,20211111
--0iUa4sNDFiZFrAdIWhZQ,20100913
--0iUa4sNDFiZFrAdIWhZQ,20110504
--0iUa4sNDFiZFrAdIWhZQ,20110718
--0iUa4sNDFiZFrAdIWhZQ,20120907
--0iUa4sNDFiZFrAdIWhZQ,20130327
--0iUa4sNDFiZFrAdIWhZQ,20130813
--0iUa4sNDFiZFrAdIWhZQ,20130923
--0iUa4sNDFiZFrAdIWhZQ,20131118
--0iUa4sNDFiZFrAdIWhZQ,20140412
--7PUidqRWpRSpXebiyxTg,20110215
--7PUidqRWpRSpXebiyxTg,20110728
--7PUidqRWpRSpXebiyxTg,20120311
--7PUidqRWpRSpXebiyxTg,20120424
--7PUidqRWpRSpXebiyxTg,20130525
--7PUidqRWpRSpXebiyxTg,20140502
--7PUidqRWpRSpXebiyxTg,20140918
--7PUidqRWpRSpXebiyxTg,20141110
--7PUidqRWpRSpXebiyxTg,20150927
--8IbOsAAxjKRoYsBFL-PA,20150606
--8IbOsAAxjKRoYsBFL-PA,20150729
--8IbOsAAxjKRoYsBFL-PA,20150804
--8IbOsAAxjKRoYsBFL-PA,20150807
--8IbOsAAxjKRoYsBFL-PA,20151012
--8IbOsAAxjKRoYsBFL-PA,20151113
--8IbOsAAxjKRoYsBFL-PA,20151114
--8IbOsAAxjKRoYsBFL-PA,20151121
--8IbOsAAxjKRoYsBFL-PA,20151201
--8IbOsAAxjKRoYsBFL-PA,20151223
--8IbOsAAxjKRoYsBFL-PA,20160109
--8IbOsAAxjKRoYsBFL-PA,20160117
--8IbOsAAxjKRoYsBFL-PA,20160519
--8IbOsAAxjKRoYsBFL-PA,20160530
--8IbOsAAxjKRoYsBFL-PA,20160916
--8IbOsAAxjKRoYsBFL-PA,20160922
--8IbOsAAxjKRoYsBFL-PA,20160923
--8IbOsAAxjKRoYsBFL-PA,20161004
--8IbOsAAxjKRoYsBFL-PA,20161028
--8IbOsAAxjKRoYsBFL-PA,20170604
--8IbOsAAxjKRoYsBFL-PA,20170623
--8IbOsAAxjKRoYsBFL-PA,20170926
--8IbOsAAxjKRoYsBFL-PA,20171015
--8IbOsAAxjKRoYsBFL-PA,20171114
--8IbOsAAxjKRoYsBFL-PA,20171202
--8IbOsAAxjKRoYsBFL-PA,20171204
--8IbOsAAxjKRoYsBFL-PA,20180215
--8IbOsAAxjKRoYsBFL-PA,20180430
--8IbOsAAxjKRoYsBFL-PA,20180712
--ZVrH2X2QXBFdCilbirsw,20100812
--ZVrH2X2QXBFdCilbirsw,20100820
--ZVrH2X2QXBFdCilbirsw,20120815
--ZVrH2X2QXBFdCilbirsw,20120929
--ZVrH2X2QXBFdCilbirsw,20121110
--ZVrH2X2QXBFdCilbirsw,20121111
--ZVrH2X2QXBFdCilbirsw,20121113
--ZVrH2X2QXBFdCilbirsw,20121114
--ZVrH2X2QXBFdCilbirsw,20121116
--ZVrH2X2QXBFdCilbirsw,20121117
--ZVrH2X2QXBFdCilbirsw,20121118
--ZVrH2X2QXBFdCilbirsw,20121120
--ZVrH2X2QXBFdCilbirsw,20121121
--ZVrH2X2QXBFdCilbirsw,20121122
--ZVrH2X2QXBFdCilbirsw,20121123
--ZVrH2X2QXBFdCilbirsw,20121124
--ZVrH2X2QXBFdCilbirsw,20121125
--ZVrH2X2QXBFdCilbirsw,20121127
--ZVrH2X2QXBFdCilbirsw,20121128
--ZVrH2X2QXBFdCilbirsw,20121129
--ZVrH2X2QXBFdCilbirsw,20121201
--ZVrH2X2QXBFdCilbirsw,20121202
--ZVrH2X2QXBFdCilbirsw,20121204
